general,roleModel,leaving,dropOut,equal,department,groups,gender,confident,intimidated,pressure,peer_respect,staff_respect,prove_myself,tell_peers,tell_professors,School Year,Asks in Lecture,Professor Same Background,Asks in OH,OH Same Background,Asks on Forum,Gender,Acceptance Race,Acceptance Gender,Acceptance Orientation,Acceptance Disability,Acceptance FirstGen,Acceptance Income,Job Race,Job Gender,Job Orientation,Job Disability,Job FirstGen,Job Income,Bias Race,Bias Gender,Bias Orientation,Bias Disability,Bias ParentEducation,Bias Income,Bias Other,Microagression,Interrupted,Respected in Group,African American/Black,Hispanic/Latine,Middle Eastern/North African,Asian,Pacific Islander/Hawaiian,Native America/Alaskan Native/First Nations,White,Major,Asexual,Bisexual,Gay/Lesbian,Heterosexual,Pansexual,Queer,Other,Transgender Students,Students with Disabilities,First-Generation Students,Low-income Students,International Students
False,Yes,Yes,No,Yes,Yes,Yes,Man,1,1,1,1,1,0,0,0,Senior,1,1,1,1,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,Mathematics,0,0,0,1,0,0,0,No,No,No,No,No
False,No,Yes,Yes,No,No,Yes,Woman,0,1,1,0,0,1,1,1,Junior,0,1,0,1,1,Woman,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,Computer Science,0,1,0,0,0,0,0,No,Yes,Yes,Yes,No
False,No,No,No,Yes,Yes,No,Man,1,0,1,1,1,0,0,0,Freshman,0,0,1,0,0,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
False,Yes,No,No,Maybe,Maybe,Maybe,Man,1,0,0,1,1,1,1,0,Graduate Student,1,0,1,0,0,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,Computer Science,0,0,0,1,0,0,0,No,No,No,Prefer not to say,No
False,No,No,No,No,Yes,Yes,Woman,0,1,1,1,1,1,1,1,Sophomore,0,1,1,0,1,Woman,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,Computer Science,0,1,0,0,0,0,0,No,No,No,No,No
False,No,No,No,Yes,Yes,Yes,Man,1,0,0,1,1,0,1,1,Sophomore,1,0,1,0,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,Computer Science,1,0,0,0,0,0,0,No,No,No,No,No
False,No,No,No,No,Maybe,Yes,Woman,0,1,1,1,0,0,0,0,Senior,0,1,1,1,1,Woman,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,Computer Science,0,0,1,0,0,0,0,No,No,No,No,No
False,Maybe,Yes,No,No,Yes,Yes,Man,1,0,1,1,1,0,1,0,Sophomore,1,1,1,1,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
False,Yes,Yes,No,Maybe,Maybe,Yes,Woman,0,1,0,1,1,1,0,0,Junior,0,0,1,0,1,Woman,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,Undecided,0,0,0,1,0,0,0,No,No,No,No,No
False,No,No,No,Yes,Yes,Yes,Woman,1,0,1,1,1,0,0,0,Junior,0,0,1,0,0,Woman,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
False,No,Maybe,No,Yes,Yes,No,Man,0,0,1,1,1,0,0,0,Junior,0,0,0,0,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
False,No,Yes,No,No,No,Yes,Non-binary,0,1,1,0,0,1,0,0,Junior,0,1,0,0,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,Computer Science,1,1,0,0,0,1,0,No,No,No,Yes,No
False,Yes,No,No,Yes,Yes,Yes,Man,1,0,1,1,1,0,1,1,Junior,1,0,1,0,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
False,Maybe,No,No,Maybe,Yes,Yes,Woman,1,0,1,1,0,1,0,1,Senior,1,1,1,1,1,Woman,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
False,Yes,Yes,No,Maybe,Maybe,Yes,Woman,0,0,1,1,1,1,1,0,Sophomore,0,1,1,0,0,Woman,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,Yes,No,No
False,Maybe,Maybe,No,Yes,Yes,Yes,Man,0,1,1,1,0,0,1,1,Junior,0,1,1,0,1,Man,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Mathematics,0,0,0,1,0,0,0,No,No,No,No,Yes
False,Yes,No,No,Maybe,Yes,Yes,Woman,1,0,0,1,1,0,0,0,Junior,0,0,1,0,1,Woman,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
False,Yes,Maybe,No,No,No,Yes,Woman,0,1,1,1,1,1,1,1,Senior,0,1,1,0,1,Woman,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,Computer Science,0,1,0,1,0,0,0,No,No,No,No,No
False,Yes,No,No,Maybe,Yes,Yes,Man,0,0,1,1,1,0,1,1,Sophomore,0,0,1,0,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,Engineering-based,0,0,0,1,0,0,0,No,No,No,No,No
False,Yes,No,No,No,Yes,Yes,Woman,1,1,1,1,1,0,1,0,Junior,0,0,1,0,1,Woman,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
False,Yes,Maybe,No,No,Maybe,Yes,Man,1,1,1,0,1,0,1,1,Sophomore,0,1,0,1,1,Man,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,Life Sciences,0,0,1,0,0,0,0,No,No,Yes,No,No
False,No,Yes,No,Maybe,Maybe,Yes,Woman,0,1,1,0,1,1,0,0,Graduate Student,0,1,0,1,0,Woman,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,Computer Science,0,0,0,1,0,0,0,No,Yes,Yes,No,Yes
False,No,No,No,Yes,Yes,Yes,Man,1,0,0,1,1,0,1,1,Freshman,1,0,1,0,0,Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,Prefer not to say,Prefer not to say,Yes
False,Yes,No,No,Maybe,Yes,Yes,Man,1,0,0,1,1,0,1,1,Senior,1,0,1,0,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
False,Yes,Yes,No,Yes,Yes,No,Prefer not to say,0,1,1,1,0,1,1,1,Junior,0,0,1,0,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Computer Science,0,0,0,0,0,0,0,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say
False,Yes,Yes,No,No,Yes,Yes,Man,1,1,1,1,1,0,1,1,Sophomore,0,1,1,0,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,Life Sciences,0,0,0,1,0,0,0,No,No,No,No,No
False,Yes,Maybe,Maybe,No,No,No,Man,1,0,1,1,0,1,0,0,Junior,0,1,0,1,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
False,No,No,No,Maybe,Yes,Yes,Man,1,0,1,1,1,0,1,0,Senior,1,0,1,1,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
False,Yes,Yes,No,Maybe,Yes,Yes,Woman,1,0,1,1,1,0,1,1,Sophomore,0,0,1,0,1,Woman,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
False,Maybe,Maybe,No,No,Yes,Yes,Man,1,1,1,1,1,0,1,0,Junior,1,0,1,0,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
False,Maybe,No,No,No,Yes,Yes,Man,1,0,1,1,1,0,1,1,Sophomore,0,0,1,0,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
False,Yes,Yes,No,Maybe,Yes,Yes,Man,1,1,1,1,1,0,1,1,Junior,1,0,1,0,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
False,No,Yes,No,Yes,Yes,Yes,Woman,1,1,1,1,1,1,1,1,Senior,1,1,1,1,1,Woman,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
False,Maybe,No,No,Yes,Yes,Maybe,Man,1,0,1,1,1,0,1,0,Senior,0,1,1,0,0,Man,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,Yes,No,No,Yes
False,Maybe,No,No,No,Maybe,Yes,Man,0,0,1,1,0,0,0,0,Senior,0,0,1,0,1,Man,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,Yes,Yes
False,Yes,Maybe,No,Maybe,Maybe,Yes,Woman,1,1,1,1,1,1,1,1,Sophomore,1,1,1,1,1,Woman,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,Computer Science,1,0,1,0,0,0,0,Yes,Yes,No,No,No
False,Yes,No,No,No,Yes,Yes,Man,1,1,1,0,0,0,1,0,Senior,0,0,1,0,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
False,Maybe,No,No,Maybe,Yes,Yes,Woman,1,0,0,1,1,0,1,0,Sophomore,0,1,1,0,1,Woman,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,Computer Science,0,0,0,0,0,0,0,No,No,No,No,No
False,Yes,No,No,Yes,Yes,Yes,Man,0,0,1,1,1,0,1,1,Junior,1,0,1,0,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
False,No,Yes,No,Maybe,Maybe,Yes,Man,0,1,1,0,1,0,0,0,Senior,0,0,1,0,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,Life Sciences,0,0,0,1,0,0,0,No,No,No,Yes,No
False,Yes,No,No,Yes,Yes,Yes,Woman,0,1,1,0,1,1,0,0,Junior,1,0,1,1,0,Woman,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,Undecided,0,0,0,1,0,0,0,No,Yes,Yes,Yes,No
True,No,Yes,No,No,No,Yes,Man,1,1,1,0,0,1,0,0,Senior,0,1,0,1,0,Man,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,Computer Science,1,0,0,1,0,0,0,No,No,Yes,Yes,No
True,No,Yes,No,No,No,Yes,Man,1,1,1,0,0,1,0,0,Senior,0,1,0,1,0,Man,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,Computer Science,1,0,0,1,0,0,0,No,No,Yes,Yes,No
False,Yes,No,No,Maybe,No,Maybe,Man,1,0,1,1,1,1,1,0,Junior,0,1,1,1,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
True,Yes,No,No,Yes,Yes,Yes,Woman,1,0,1,0,1,1,0,0,Senior,1,0,1,0,1,Woman,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
True,Yes,No,No,Yes,Yes,Yes,Woman,0,1,1,1,1,0,0,0,Senior,0,0,0,0,1,Woman,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
True,Maybe,No,No,Yes,Yes,Yes,Non-binary,1,0,1,1,1,0,1,1,Sophomore,0,1,1,1,1,Other,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,1,0,0,0,0,0,No,No,No,No,No
True,Yes,No,No,Yes,Yes,Maybe,Man,1,0,0,1,1,0,1,1,Senior,1,0,0,0,0,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
True,Yes,No,No,Yes,Yes,Yes,Woman,0,1,1,1,1,0,0,0,Graduate Student,0,0,1,0,0,Woman,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
True,Yes,No,No,Yes,Yes,Maybe,Man,1,0,0,1,1,0,1,1,Senior,1,0,0,0,0,Man,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
True,No,Yes,Yes,Maybe,Yes,Yes,Woman,0,1,1,1,1,1,0,0,Senior,0,1,0,0,0,Woman,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,Computer Science,1,0,0,0,0,0,0,No,Yes,No,No,No
True,Yes,No,No,Yes,Yes,Yes,Woman,0,1,1,1,1,0,0,0,Graduate Student,0,0,1,0,0,Woman,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
True,No,Yes,Yes,Maybe,Yes,Yes,Woman,0,1,1,1,1,1,0,0,Senior,0,1,0,0,0,Woman,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,Computer Science,1,0,0,0,0,0,0,No,Yes,No,No,No
True,Yes,No,No,Yes,Yes,Yes,Man,1,0,1,1,1,0,1,1,Sophomore,1,0,1,0,1,Man,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
True,Yes,No,No,Yes,Yes,Yes,Man,1,0,1,1,1,0,1,1,Sophomore,1,0,1,0,1,Man,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
True,Yes,No,No,Yes,Yes,Yes,Man,1,0,1,1,1,0,1,1,Sophomore,1,0,1,0,1,Man,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,Computer Science,0,0,0,1,0,0,0,No,No,No,No,Yes
True,Yes,No,No,Yes,Maybe,No,Man,1,1,1,1,0,0,0,0,Freshman,1,0,0,0,1,Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Computer Science,0,0,0,1,0,0,0,No,No,No,No,No
